Feature_ID,Taxon
59a58c2f0fafe5f490d40f253e8fac64,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__DB1-14;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
f302a502cfd1bda24b00ad975eae352c,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Alteromonadales;D_4__Alteromonadaceae;D_5__Aestuariibacter;D_6__uncultured bacterium
40816eccbf9b375a7c30d68466ff3b58,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Vibrionales;D_4__Vibrionaceae;D_5__Vibrio;D_6__Vibrio harveyi
06acd52c4ca292c10bd3c0960e74265f,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XII;D_5__Fusibacter;D_6__uncultured bacterium
9fb72a9c2a08adc2caf2cc342b20811e,D_0__Bacteria;D_1__Planctomycetes;D_2__Planctomycetacia;D_3__Planctomycetales;D_4__Planctomycetaceae;D_5__Planctomyces
ef678030f3acb862d5eb4ee0b9fc3da2,D_0__Bacteria;D_1__Verrucomicrobia;D_2__Verrucomicrobiae;D_3__Verrucomicrobiales;D_4__Verrucomicrobiaceae;D_5__Haloferula;D_6__uncultured bacterium
78f85c2f0946915975dc4c7f4d3a0a23,D_0__Bacteria
db67efa4a235962a3e2c52e4bc47fa00,D_0__Bacteria;D_1__Actinobacteria;D_2__Coriobacteriia;D_3__Coriobacteriales;D_4__Coriobacteriaceae;D_5__Atopobium
a0edd01390f35d436a81a4d17ec6df45,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Family XII;D_5__Fusibacter;D_6__uncultured bacterium
e84d7e06a4cc55ffb34c6eda1a8ceff0,D_0__Bacteria
01d85c25e5781f3e1a9a8ee775c42f9d,D_0__Bacteria;D_1__Bacteroidetes;D_2__Flavobacteriia;D_3__Flavobacteriales
79ee2a2ecba89648ebd9c60aa9ef3cfa,D_0__Bacteria
96f8ec05f82a54fbe3808cb3ba9181ad,D_0__Bacteria
92e8f286f1aa7e53f44cd0a6710d6609,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__DB1-14;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium
68ee516097a82cd96e73ba6eac8a0619,D_0__Bacteria;D_1__Proteobacteria;D_2__Betaproteobacteria;D_3__Burkholderiales;D_4__Comamonadaceae;D_5__Pelomonas;D_6__uncultured bacterium
944ccb33714b1f9518208683049f2684,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Cellvibrionales;D_4__Halieaceae;D_5__Haliea
489fbd233545c3fef15f28f4c8ded68e,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Phyllobacteriaceae;D_5__uncultured;D_6__uncultured bacterium
f7856f1a93096fd8ae22800dc6653daa,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Rhodobiaceae;D_5__Rhodobium;D_6__uncultured bacterium
16b5eff74e74bf24d76229bce3a2f9e2,D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhizobiales;D_4__Phyllobacteriaceae;D_5__uncultured;D_6__uncultured bacterium
9b566a14af35e1f060bd4ce8107b175b,D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Clostridiaceae 4;D_5__Clostridium sensu stricto;D_6__uncultured bacterium
70152f639f63078ae8c444ba83823eb1,D_0__Bacteria
526734779312d9f0241f5231e79088ad,D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria
7475eec9ac0b058dd43ebf48536c4ecc,D_0__Bacteria
